iter	Passed	Remaining
0	144	43313
1	148	22087
2	150	14940
3	153	11365
4	156	9222
5	158	7782
6	161	6774
7	165	6031
8	167	5429
9	170	4945
10	173	4548
11	175	4216
12	179	3964
13	182	3730
14	185	3516
15	187	3332
16	190	3169
17	193	3029
18	197	2914
19	199	2798
20	202	2690
21	205	2595
22	208	2506
23	211	2434
24	214	2362
25	217	2293
26	220	2229
27	224	2177
28	229	2145
29	232	2091
30	235	2040
31	237	1989
32	240	1942
33	242	1897
34	245	1861
35	249	1833
36	252	1792
37	254	1757
38	258	1730
39	261	1702
40	264	1669
41	266	1637
42	269	1608
43	271	1580
44	274	1554
45	277	1532
46	280	1508
47	282	1484
48	285	1461
49	288	1440
50	292	1427
51	295	1407
52	297	1388
53	300	1368
54	302	1349
55	307	1339
56	310	1324
57	313	1308
58	316	1293
59	319	1278
60	323	1268
61	327	1258
62	331	1245
63	334	1232
64	337	1221
65	343	1217
66	347	1208
67	351	1198
68	356	1194
69	360	1185
70	364	1176
71	368	1165
72	372	1157
73	376	1150
74	380	1142
75	384	1133
76	390	1129
77	394	1122
78	398	1115
79	404	1111
80	409	1106
81	413	1098
82	417	1091
83	422	1086
84	425	1076
85	429	1068
86	431	1057
87	437	1053
88	442	1049
89	445	1039
90	448	1031
91	453	1025
92	457	1017
93	460	1009
94	464	1002
95	468	996
96	473	990
97	477	984
98	481	977
99	485	971
100	489	963
101	491	954
102	494	945
103	497	937
104	502	932
105	505	925
106	509	918
107	513	912
108	517	906
109	520	899
110	524	893
111	528	887
112	533	883
113	537	876
114	541	870
115	546	866
116	550	861
117	554	854
118	557	848
119	562	844
120	566	838
121	569	831
122	573	825
123	578	820
124	582	815
125	587	811
126	591	806
127	596	802
128	601	797
129	606	792
130	609	786
131	613	781
132	617	775
133	622	770
134	626	765
135	630	760
136	633	753
137	636	747
138	641	743
139	646	739
140	649	732
141	654	727
142	658	723
143	663	718
144	665	711
145	669	706
146	674	702
147	680	699
148	686	695
149	691	691
150	695	686
151	699	680
152	702	675
153	706	670
154	710	664
155	713	659
156	717	653
157	721	648
158	726	644
159	730	639
160	735	635
161	740	630
162	744	625
163	748	620
164	751	615
165	755	609
166	759	605
167	763	599
168	766	594
169	770	589
170	775	585
171	779	580
172	784	575
173	787	570
174	791	565
175	796	560
176	800	556
177	803	551
178	808	546
179	813	542
180	816	537
181	820	531
182	824	527
183	828	522
184	831	516
185	834	511
186	838	506
187	842	501
188	845	496
189	848	491
190	852	486
191	856	481
192	859	476
193	863	471
194	866	466
195	869	461
196	873	456
197	877	452
198	880	447
199	883	441
200	887	437
201	890	432
202	894	427
203	897	422
204	901	417
205	905	413
206	909	408
207	913	404
208	917	399
209	921	394
210	924	389
211	928	385
212	932	380
213	935	375
214	939	371
215	943	366
216	946	362
217	949	357
218	953	352
219	957	348
220	961	343
221	964	338
222	968	334
223	972	329
224	975	325
225	979	320
226	983	316
227	987	311
228	989	306
229	993	302
230	996	297
231	1001	293
232	1004	288
233	1008	284
234	1012	279
235	1016	275
236	1021	271
237	1024	267
238	1027	262
239	1032	258
240	1036	253
241	1039	249
242	1043	244
243	1046	240
244	1050	235
245	1054	231
246	1057	227
247	1061	222
248	1065	218
249	1069	213
250	1072	209
251	1076	205
252	1080	200
253	1084	196
254	1088	192
255	1092	187
256	1096	183
257	1100	179
258	1104	174
259	1108	170
260	1113	166
261	1117	162
262	1121	157
263	1126	153
264	1130	149
265	1135	145
266	1139	140
267	1144	136
268	1149	132
269	1153	128
270	1157	123
271	1159	119
272	1164	115
273	1169	110
274	1173	106
275	1176	102
276	1181	98
277	1184	93
278	1187	89
279	1190	85
280	1194	80
281	1199	76
282	1203	72
283	1207	68
284	1211	63
285	1215	59
286	1219	55
287	1224	51
288	1228	46
289	1232	42
290	1236	38
291	1241	34
292	1245	29
293	1249	25
294	1254	21
295	1258	17
296	1262	12
297	1266	8
298	1270	4
299	1275	0
